sample_id,latitude_deg,longitude_deg,lroc_wac_albedo,optical_maturation_omat,boulder_density_per_100m2,max_boulder_diameter_m,crater_density_per_km2,landing_hazard_index,nac_high_res_coverage
LROC_00932,-80.156,-90.6165,0.178,0.176,0.05,0.46,35,0.146,0
LROC_00933,-84.7431,175.685,0.199,0.148,0.63,1.34,27,0.184,1
LROC_00934,-88.2832,-39.8197,0.196,0.157,0.68,1.41,47,0.27,0
LROC_00935,-87.2769,83.7406,0.185,0.187,0.11,0.7,84,0.349,1
LROC_00936,-89.8161,66.5011,0.177,0.175,0.69,1.51,90,0.443,0
LROC_00937,-80.857,-103.6508,0.165,0.186,2.28,2.79,75,0.574,1
LROC_00938,-88.8225,-93.9608,0.206,0.171,2.87,3.35,44,0.52,1
LROC_00939,-84.2348,-78.7376,0.194,0.177,1.65,1.98,51,0.402,1
LROC_00940,-87.2594,-31.9942,0.174,0.199,1.23,1.93,30,0.268,1
LROC_00941,-84.4582,-95.643,0.196,0.155,0.18,1.03,59,0.258,1
LROC_00942,-83.4858,-172.9255,0.184,0.186,0.13,0.64,85,0.356,1
LROC_00943,-81.7026,136.5815,0.181,0.19,0.44,1.14,15,0.113,1
LROC_00944,-87.9358,167.6195,0.192,0.188,0.72,1.42,67,0.354,0
LROC_00945,-89.89,-57.0347,0.174,0.161,1.43,1.84,42,0.34,1
LROC_00946,-88.6311,-58.1375,0.18,0.183,0.2,0.82,67,0.292,1
LROC_00947,-80.9998,-177.4469,0.187,0.202,0.49,0.89,58,0.291,1
LROC_00948,-81.2611,64.8902,0.178,0.178,0.78,1.19,81,0.418,0
LROC_00949,-84.0259,117.1584,0.195,0.18,0.44,0.83,53,0.265,0
LROC_00950,-83.9948,-127.221,0.213,0.176,0.45,1.09,24,0.15,1
LROC_00951,-83.3496,-122.5201,0.174,0.166,0.19,0.88,65,0.283,1
LROC_00952,-88.2463,104.43,0.16,0.216,3.24,3.77,28,0.501,1
LROC_00953,-80.8559,41.8647,0.155,0.198,0.48,1.1,93,0.43,1
LROC_00954,-85.8123,-163.8502,0.183,0.185,0.57,1.04,20,0.148,1
LROC_00955,-86.1686,44.1169,0.175,0.156,0.18,0.59,53,0.234,1
LROC_00956,-84.8108,-68.7896,0.188,0.187,0.54,1.33,94,0.441,1
LROC_00957,-89.5303,-47.2589,0.187,0.183,0.22,0.84,62,0.274,1
LROC_00958,-88.3372,97.1033,0.161,0.212,0.17,0.92,39,0.176,1
LROC_00959,-82.6197,111.9367,0.158,0.184,0.24,0.62,47,0.217,1
LROC_00960,-89.172,-35.8716,0.189,0.16,0.05,0.69,89,0.362,0
LROC_00961,-83.9685,160.9751,0.187,0.166,0.63,1.13,81,0.4,1
LROC_00962,-87.5465,-33.6734,0.179,0.172,0.37,0.75,79,0.36,0
LROC_00963,-86.107,97.861,0.16,0.171,1.72,2.34,54,0.422,1
LROC_00964,-87.1131,-5.8042,0.192,0.193,0.05,0.7,39,0.162,1
LROC_00965,-86.4433,143.1116,0.204,0.188,0.05,0.61,71,0.29,0
LROC_00966,-82.8095,146.794,0.189,0.172,1.63,2.27,46,0.38,1
LROC_00967,-87.0288,-148.5299,0.172,0.177,0.1,0.71,60,0.252,1
LROC_00968,-84.336,157.1376,0.186,0.149,0.05,0.45,18,0.078,1
LROC_00969,-85.2395,117.1925,0.165,0.196,0.15,1.01,37,0.166,1
LROC_00970,-83.3633,104.8719,0.201,0.194,1.3,1.7,94,0.532,0
LROC_00971,-80.6317,-107.6719,0.186,0.167,1.22,1.91,89,0.502,1
LROC_00972,-82.6743,109.8429,0.158,0.187,0.31,1.09,36,0.181,1
LROC_00973,-87.8506,126.0478,0.18,0.186,0.83,1.23,47,0.288,1
LROC_00974,-89.6882,-75.9059,0.192,0.199,0.53,1.11,55,0.284,1
LROC_00975,-87.3774,162.8136,0.18,0.182,1.76,2.0,76,0.515,0
LROC_00976,-84.0492,-162.0503,0.181,0.181,0.05,0.62,52,0.214,1
LROC_00977,-89.4857,-126.0327,0.167,0.188,1.26,1.9,70,0.431,1
LROC_00978,-85.0363,13.5292,0.193,0.152,0.14,0.64,77,0.325,0
LROC_00979,-84.0316,27.2853,0.175,0.16,0.37,0.79,91,0.408,0
LROC_00980,-86.6576,52.254,0.153,0.179,0.16,0.8,90,0.379,1
LROC_00981,-82.2909,-173.8911,0.179,0.195,0.91,1.49,69,0.385,1
LROC_00982,-88.934,165.732,0.2,0.165,0.85,1.5,65,0.362,1
LROC_00983,-89.2486,-163.9483,0.179,0.172,0.6,1.32,79,0.388,1
LROC_00984,-82.7181,-128.4977,0.211,0.157,0.9,1.56,71,0.392,1
LROC_00985,-85.0451,-174.9548,0.191,0.172,0.77,1.52,41,0.256,1
LROC_00986,-83.116,24.069,0.19,0.2,1.12,1.52,71,0.418,1
LROC_00987,-85.6517,155.6161,0.183,0.175,0.21,0.87,69,0.301,1
LROC_00988,-87.536,59.741,0.184,0.165,0.42,0.96,86,0.394,1
LROC_00989,-81.809,116.1567,0.181,0.179,0.12,0.99,18,0.086,0
LROC_00990,-82.0058,-175.2188,0.18,0.205,0.42,1.0,79,0.366,0
LROC_00991,-83.053,15.1255,0.193,0.166,0.91,1.7,70,0.389,1
LROC_00992,-87.2785,-14.5573,0.171,0.165,0.88,1.58,67,0.374,1
LROC_00993,-84.0977,-0.3715,0.169,0.176,0.93,1.6,58,0.344,0
LROC_00994,-86.3903,-154.0033,0.168,0.186,0.28,0.9,30,0.154,0
LROC_00995,-89.0842,66.3967,0.216,0.173,0.81,1.35,37,0.245,1
LROC_00996,-80.8269,1.1593,0.193,0.188,0.34,0.97,45,0.221,1
LROC_00997,-88.6318,95.4536,0.19,0.159,2.17,2.5,42,0.428,1
LROC_00998,-80.4976,-5.2954,0.169,0.17,0.32,1.14,64,0.294,0
LROC_00999,-85.5399,-126.2226,0.194,0.168,0.69,1.42,30,0.203,1
LROC_01000,-88.1487,53.3725,0.183,0.188,1.04,1.74,55,0.345,0
LROC_01001,-84.581,-117.9409,0.188,0.156,1.78,2.22,23,0.306,1
LROC_01002,-81.2705,134.062,0.17,0.174,0.43,0.82,16,0.116,1
LROC_01003,-82.6778,40.7218,0.187,0.167,0.34,1.05,57,0.269,1
LROC_01004,-81.9344,-123.4066,0.179,0.194,0.42,0.97,80,0.37,1
LROC_01005,-83.4122,166.4417,0.174,0.19,0.29,1.1,94,0.411,1
LROC_01006,-83.0772,6.6116,0.196,0.185,0.8,1.51,91,0.46,1
LROC_01007,-81.508,-153.7566,0.162,0.207,2.02,2.29,63,0.494,1
LROC_01008,-87.5033,45.6598,0.193,0.169,0.1,0.79,35,0.152,0
LROC_01009,-85.1058,-88.8484,0.195,0.154,0.62,1.3,33,0.206,1
LROC_01010,-87.7879,109.3296,0.172,0.165,1.71,2.22,71,0.489,0
LROC_01011,-80.1233,114.4159,0.173,0.155,0.08,0.73,91,0.374,1
LROC_01012,-80.5594,172.421,0.182,0.171,0.51,0.97,74,0.357,1
LROC_01013,-89.6057,0.673,0.189,0.169,1.5,1.87,33,0.312,1
LROC_01014,-82.9442,-16.2155,0.183,0.189,1.73,2.34,78,0.52,1
LROC_01015,-80.7475,91.2512,0.192,0.174,0.54,0.9,49,0.261,1
LROC_01016,-88.1942,-132.3106,0.211,0.158,0.05,0.83,47,0.194,1
LROC_01017,-84.3205,16.8896,0.177,0.179,0.08,0.74,81,0.334,0
LROC_01018,-80.8451,16.6491,0.159,0.173,0.66,1.46,62,0.327,1
LROC_01019,-89.6605,-147.7897,0.197,0.187,0.1,0.99,74,0.308,0
LROC_01020,-83.0258,-29.5257,0.21,0.154,0.12,0.84,59,0.25,1
LROC_01021,-87.0265,127.1825,0.191,0.157,1.11,1.61,89,0.489,1
LROC_01022,-80.756,128.2153,0.169,0.196,1.04,1.57,82,0.453,1
LROC_01023,-80.2894,-144.2744,0.183,0.186,1.39,1.75,82,0.495,0
LROC_01024,-80.5573,-147.3405,0.168,0.159,0.08,0.52,29,0.126,1
LROC_01025,-85.2579,-85.4296,0.195,0.185,0.17,0.84,86,0.364,0
LROC_01026,-81.3796,134.9158,0.165,0.175,1.34,2.01,29,0.277,1
LROC_01027,-81.5545,-133.5951,0.18,0.173,0.96,1.39,37,0.263,1
LROC_01028,-86.809,79.1988,0.17,0.186,1.23,1.72,74,0.444,1
LROC_01029,-81.7108,-143.5804,0.187,0.185,3.44,3.77,28,0.525,0
LROC_01030,-89.6299,44.3296,0.18,0.186,1.5,2.2,16,0.244,1
LROC_01031,-84.0373,-51.8158,0.188,0.175,0.55,0.96,57,0.294,1
LROC_01032,-87.6999,104.009,0.185,0.17,0.28,0.77,85,0.374,0
LROC_01033,-88.7943,-95.8714,0.17,0.19,0.63,1.43,30,0.196,1
LROC_01034,-89.2305,50.1127,0.194,0.171,0.76,1.1,42,0.259,1
LROC_01035,-83.0371,-95.1543,0.184,0.204,0.31,1.01,46,0.221,0
LROC_01036,-86.6013,76.9177,0.17,0.192,1.11,1.72,85,0.473,0
LROC_01037,-82.7523,134.5241,0.219,0.148,0.07,0.65,16,0.072,1
LROC_01038,-89.3464,-134.3514,0.192,0.166,1.13,1.65,86,0.48,0
LROC_01039,-86.8471,131.9744,0.183,0.178,0.05,0.87,21,0.09,1
LROC_01040,-84.6051,33.6871,0.206,0.187,0.52,0.95,52,0.27,1
LROC_01041,-82.0928,-134.2402,0.213,0.185,1.48,1.85,62,0.426,0
LROC_01042,-86.8125,-26.0849,0.183,0.172,0.07,0.72,87,0.356,1
LROC_01043,-83.7411,-122.0903,0.19,0.16,0.55,1.1,16,0.13,0
LROC_01044,-81.1402,72.1252,0.17,0.168,0.13,0.8,56,0.24,1
LROC_01045,-83.8414,93.1925,0.183,0.181,1.69,2.38,56,0.427,0
LROC_01046,-87.6704,-141.9133,0.182,0.213,1.34,2.06,34,0.297,1
LROC_01047,-89.756,2.2103,0.188,0.183,2.04,2.35,20,0.325,1
LROC_01048,-81.299,113.265,0.19,0.151,1.56,1.96,25,0.287,0
LROC_01049,-89.7873,157.0187,0.193,0.162,1.0,1.38,83,0.452,0
LROC_01050,-81.253,4.8664,0.189,0.166,0.15,1.0,88,0.37,1
LROC_01051,-84.7106,162.1005,0.167,0.173,0.27,0.84,54,0.248,1
LROC_01052,-80.6093,12.848,0.171,0.177,0.52,1.09,50,0.262,1
LROC_01053,-82.0122,-38.0914,0.177,0.186,0.67,1.4,65,0.34,1
LROC_01054,-80.0207,125.3531,0.181,0.189,1.14,1.68,61,0.381,1
LROC_01055,-86.4929,-2.5262,0.201,0.186,0.19,0.63,31,0.147,1
LROC_01056,-82.3281,-10.1151,0.168,0.192,0.1,0.71,40,0.172,1
LROC_01057,-85.9807,-3.4875,0.18,0.15,0.49,1.16,67,0.327,1
LROC_01058,-85.2012,124.8426,0.199,0.155,0.13,0.88,62,0.264,1
LROC_01059,-83.7249,119.499,0.181,0.176,0.89,1.52,41,0.271,1
LROC_01060,-81.2632,-34.7328,0.192,0.176,0.64,1.04,60,0.317,1
LROC_01061,-80.1592,-60.0121,0.183,0.191,1.01,1.46,81,0.445,1
LROC_01062,-82.3173,-2.9059,0.189,0.176,0.05,0.81,33,0.138,1
LROC_01063,-85.8223,26.1981,0.182,0.179,2.51,3.1,86,0.645,1
LROC_01064,-85.7864,-94.1986,0.195,0.176,0.05,0.47,79,0.322,1
LROC_01065,-82.6242,105.8238,0.162,0.183,0.3,0.69,85,0.376,1
LROC_01066,-87.6122,-4.8662,0.18,0.18,0.85,1.49,50,0.302,1
LROC_01067,-88.8953,-59.7436,0.189,0.192,0.05,0.72,81,0.33,1
LROC_01068,-86.4538,-141.5444,0.193,0.172,0.07,0.54,56,0.232,1
LROC_01069,-87.1276,-94.0157,0.207,0.166,0.06,0.73,81,0.331,1
LROC_01070,-87.0369,161.7412,0.179,0.179,0.65,1.47,83,0.41,1
LROC_01071,-87.6639,-70.1641,0.207,0.186,1.7,2.25,63,0.456,1
LROC_01072,-89.5791,-119.2107,0.175,0.165,0.61,1.17,51,0.277,1
LROC_01073,-89.8213,-14.1578,0.205,0.194,0.69,1.43,60,0.323,0
LROC_01074,-80.1228,-69.4484,0.197,0.154,0.32,0.79,94,0.414,1
LROC_01075,-85.7223,-167.3427,0.171,0.173,0.05,0.65,70,0.286,1
LROC_01076,-86.1567,-63.6677,0.19,0.186,0.05,0.71,77,0.314,1
LROC_01077,-83.2035,15.8791,0.184,0.193,1.64,2.13,92,0.565,0
LROC_01078,-87.8175,18.6165,0.194,0.152,0.08,0.93,44,0.186,1
LROC_01079,-80.5004,-51.6388,0.182,0.162,6.35,6.26,77,0.98,1
LROC_01080,-82.1365,-18.971,0.18,0.183,0.13,0.55,90,0.376,1
LROC_01081,-89.1059,167.5865,0.206,0.202,0.84,1.61,40,0.261,1
LROC_01082,-85.8242,-44.1545,0.184,0.196,2.23,2.52,37,0.416,1
LROC_01083,-81.2088,-87.0383,0.197,0.168,0.34,0.9,34,0.177,1
LROC_01084,-80.5527,-92.3519,0.182,0.142,0.99,1.56,60,0.359,0
LROC_01085,-85.326,-15.2047,0.21,0.167,0.32,1.18,94,0.414,1
LROC_01086,-83.8659,93.4273,0.175,0.187,0.27,0.91,45,0.212,1
LROC_01087,-88.3297,-105.8443,0.176,0.175,0.17,0.78,81,0.344,0
LROC_01088,-80.0883,75.3466,0.208,0.154,1.29,1.85,35,0.295,1
LROC_01089,-87.6833,-172.3861,0.178,0.182,0.22,1.08,65,0.286,0
LROC_01090,-80.5727,-29.1841,0.209,0.152,0.25,1.03,53,0.242,1
LROC_01091,-83.5035,99.3114,0.198,0.199,5.16,5.13,77,0.927,1
LROC_01092,-83.9226,-58.0561,0.183,0.2,0.3,1.07,83,0.368,0
LROC_01093,-84.8731,22.9454,0.158,0.199,0.41,1.19,34,0.185,1
LROC_01094,-87.6933,-106.2075,0.185,0.178,3.46,3.86,37,0.563,1
LROC_01095,-88.2347,87.1183,0.187,0.166,0.35,1.04,56,0.266,1
LROC_01096,-87.7951,-161.1795,0.203,0.168,0.34,0.93,87,0.389,1
LROC_01097,-88.1356,126.9154,0.209,0.191,1.32,1.91,17,0.226,0
LROC_01098,-82.2042,-108.6493,0.175,0.194,0.28,1.02,41,0.198,0
LROC_01099,-86.4987,134.7833,0.197,0.174,0.2,0.64,88,0.376,0
LROC_01100,-89.4216,-53.0895,0.196,0.186,0.41,0.9,94,0.425,1
LROC_01101,-80.309,80.1661,0.201,0.178,0.9,1.31,38,0.26,0
LROC_01102,-81.1621,-65.0789,0.192,0.18,0.05,0.87,23,0.098,0
LROC_01103,-80.7225,146.1282,0.156,0.205,0.35,1.06,16,0.106,1
LROC_01104,-80.0509,-134.4106,0.183,0.185,0.32,0.91,20,0.118,1
LROC_01105,-88.261,-115.7329,0.168,0.197,0.21,1.0,85,0.365,1
LROC_01106,-86.0376,-2.5092,0.182,0.181,0.8,1.48,93,0.468,1
LROC_01107,-82.4176,-150.5022,0.2,0.166,0.26,1.09,35,0.171,0
LROC_01108,-83.0398,-109.4471,0.19,0.166,0.7,1.07,43,0.256,1
LROC_01109,-88.461,159.7559,0.202,0.159,0.53,1.13,27,0.172,1
LROC_01110,-81.8417,171.5363,0.19,0.15,0.18,0.92,83,0.354,1
LROC_01111,-87.7556,-44.5466,0.166,0.172,0.23,0.71,56,0.252,1
LROC_01112,-87.7618,152.383,0.147,0.18,0.14,0.69,15,0.077,1
LROC_01113,-84.6303,16.1369,0.187,0.168,0.05,0.65,34,0.142,1
LROC_01114,-84.0706,-82.8927,0.182,0.202,0.72,1.45,57,0.314,0
LROC_01115,-84.1991,72.8635,0.17,0.181,0.84,1.4,15,0.161,1
LROC_01116,-89.0851,57.2047,0.159,0.192,0.14,0.77,54,0.233,1
LROC_01117,-81.2254,176.0851,0.174,0.186,0.72,1.26,21,0.17,1
LROC_01118,-87.344,-84.583,0.182,0.202,3.02,3.23,49,0.558,0
LROC_01119,-88.7049,61.9414,0.195,0.164,0.06,0.92,66,0.271,1
LROC_01120,-81.1125,-161.2714,0.188,0.172,0.51,1.02,48,0.253,1
LROC_01121,-80.4435,-139.0874,0.209,0.164,0.99,1.57,64,0.375,0
LROC_01122,-81.3787,-178.5894,0.169,0.201,0.05,0.52,83,0.338,0
LROC_01123,-81.9048,179.8058,0.198,0.191,1.13,1.63,43,0.308,1
LROC_01124,-83.4476,108.8185,0.186,0.183,2.92,3.48,85,0.69,1
LROC_01125,-84.4914,103.2203,0.195,0.191,0.07,0.96,15,0.068,1
LROC_01126,-89.1301,3.5014,0.178,0.183,1.3,1.75,87,0.504,1
LROC_01127,-85.9155,-71.9759,0.201,0.167,0.36,0.8,72,0.331,0
LROC_01128,-86.2731,-125.5449,0.189,0.193,0.12,0.67,79,0.33,1
LROC_01129,-87.4025,-77.5171,0.175,0.189,0.51,1.02,31,0.185,1
LROC_01130,-82.7658,-44.6504,0.185,0.166,0.06,0.78,76,0.311,1
LROC_01131,-85.0412,92.2716,0.181,0.194,0.55,1.14,93,0.438,1
LROC_01132,-89.1895,14.2782,0.192,0.17,0.05,0.83,56,0.23,0
LROC_01133,-87.7982,-152.1059,0.167,0.18,0.98,1.63,42,0.286,1
LROC_01134,-83.1674,-173.5096,0.185,0.19,0.5,0.98,17,0.128,1
LROC_01135,-89.2387,-143.1604,0.191,0.173,0.46,1.21,19,0.131,1
LROC_01136,-81.4879,-32.2205,0.185,0.183,0.16,0.97,80,0.339,1
LROC_01137,-85.0485,155.9495,0.205,0.178,0.34,1.01,68,0.313,0
LROC_01138,-85.1941,49.4649,0.197,0.16,0.15,1.0,52,0.226,1
LROC_01139,-84.0759,108.6573,0.185,0.183,1.0,1.69,94,0.496,1
LROC_01140,-81.7532,-12.1051,0.188,0.196,0.17,0.85,58,0.252,1
LROC_01141,-86.5219,-49.8002,0.189,0.161,0.72,1.5,90,0.446,0
LROC_01142,-83.2198,-140.9759,0.191,0.181,0.25,0.93,71,0.314,1
LROC_01143,-84.3427,135.3359,0.158,0.176,0.8,1.38,85,0.436,1
LROC_01144,-87.3297,101.9376,0.18,0.194,0.58,1.1,38,0.222,1
LROC_01145,-81.2137,-119.4775,0.163,0.202,0.41,1.21,94,0.425,1
LROC_01146,-82.0257,4.4138,0.204,0.163,0.84,1.22,73,0.393,1
LROC_01147,-83.4155,-4.5451,0.184,0.21,0.4,1.0,22,0.136,1
LROC_01148,-81.4942,45.033,0.182,0.195,1.29,1.83,16,0.219,1
LROC_01149,-81.3271,160.6273,0.198,0.182,0.98,1.56,55,0.338,1
LROC_01150,-82.9164,28.7177,0.191,0.184,0.58,1.25,70,0.35,1
LROC_01151,-81.6299,14.4782,0.168,0.199,1.57,2.07,62,0.436,0
LROC_01152,-83.0253,-161.8837,0.184,0.162,1.32,1.72,36,0.302,1
LROC_01153,-83.1986,-157.3533,0.18,0.182,0.57,1.34,32,0.196,1
LROC_01154,-83.8139,-112.5552,0.159,0.194,0.05,0.77,93,0.378,1
LROC_01155,-82.4728,-168.3105,0.175,0.175,0.63,1.4,55,0.296,0
LROC_01156,-88.4139,87.607,0.182,0.185,0.33,0.84,81,0.364,1
LROC_01157,-81.1913,80.3989,0.183,0.196,0.58,1.24,62,0.318,1
LROC_01158,-81.2816,-131.0198,0.163,0.18,0.78,1.46,37,0.242,1
LROC_01159,-89.7075,120.9884,0.202,0.168,0.78,1.29,16,0.158,0
LROC_01160,-81.7418,-124.277,0.183,0.165,0.84,1.56,18,0.173,1
LROC_01161,-88.7113,-71.5768,0.186,0.149,0.85,1.17,40,0.262,0
LROC_01162,-86.6488,-90.3683,0.191,0.186,0.09,0.78,33,0.143,1
LROC_01163,-82.5649,-45.9694,0.173,0.182,0.16,0.85,63,0.271,1
LROC_01164,-88.3924,-88.321,0.192,0.174,0.75,1.34,88,0.442,1
LROC_01165,-81.8203,-3.9777,0.179,0.165,0.39,1.07,67,0.315,1
LROC_01166,-81.6787,-33.3332,0.172,0.18,1.08,1.46,20,0.21,1
LROC_01167,-84.9253,175.165,0.194,0.189,0.1,0.83,76,0.316,1
LROC_01168,-89.9361,-159.8665,0.207,0.167,0.16,0.71,15,0.079,1
LROC_01169,-87.1296,-128.8147,0.196,0.172,0.61,1.18,30,0.193,1
LROC_01170,-83.8307,-160.9827,0.199,0.174,0.52,1.03,66,0.326,0
LROC_01171,-80.1881,45.3028,0.177,0.162,0.23,0.84,21,0.112,1
LROC_01172,-83.6819,-160.3767,0.161,0.197,0.39,1.06,49,0.243,1
LROC_01173,-87.402,121.1183,0.207,0.148,0.05,0.86,92,0.374,0
LROC_01174,-83.6599,4.2979,0.216,0.149,0.05,0.69,82,0.334,1
LROC_01175,-84.6001,9.7227,0.208,0.151,0.07,0.62,29,0.124,1
LROC_01176,-82.2015,22.174,0.18,0.176,0.64,1.22,71,0.361,1
LROC_01177,-88.9302,-118.5071,0.168,0.179,1.49,2.09,37,0.327,1
LROC_01178,-82.3897,-108.8315,0.169,0.184,0.23,0.78,92,0.396,1
LROC_01179,-84.5873,-65.2258,0.16,0.174,0.05,0.65,25,0.106,1
LROC_01180,-80.3701,33.6587,0.183,0.193,0.92,1.51,18,0.182,0
LROC_01181,-86.5813,-104.3576,0.209,0.178,1.45,1.85,72,0.462,1
LROC_01182,-83.6738,-138.1206,0.183,0.175,0.11,0.6,54,0.229,0
LROC_01183,-80.6797,169.2421,0.19,0.167,0.37,0.8,72,0.332,0
LROC_01184,-88.9749,-172.0865,0.206,0.159,0.13,0.69,81,0.34,1
LROC_01185,-80.6277,108.9711,0.179,0.175,0.08,0.5,52,0.218,0
LROC_01186,-83.1211,103.6927,0.216,0.142,0.78,1.39,16,0.158,1
LROC_01187,-89.3216,-73.0029,0.215,0.149,2.57,2.8,54,0.524,0
LROC_01188,-86.9904,-131.1744,0.183,0.191,0.85,1.35,70,0.382,1
LROC_01189,-82.9183,-127.5737,0.176,0.185,3.14,3.36,86,0.721,0
LROC_01190,-89.3265,71.0754,0.195,0.197,0.43,1.1,49,0.248,1
LROC_01191,-84.1783,51.4104,0.18,0.175,1.71,2.36,63,0.457,1
LROC_01192,-86.5412,101.7884,0.168,0.179,0.17,0.87,81,0.344,1
LROC_01193,-83.7908,157.4932,0.204,0.162,0.09,0.75,58,0.243,1
LROC_01194,-89.5426,69.0939,0.203,0.164,0.91,1.55,45,0.289,1
LROC_01195,-81.2846,-123.8934,0.187,0.166,0.35,0.73,79,0.358,1
LROC_01196,-80.2651,-92.3607,0.166,0.189,0.29,0.72,90,0.395,1
LROC_01197,-80.3112,123.1897,0.167,0.185,0.83,1.19,32,0.228,1
LROC_01198,-82.5035,-104.6498,0.187,0.168,0.3,0.72,50,0.236,0
LROC_01199,-88.6991,-153.892,0.178,0.199,0.64,1.11,76,0.381,0
LROC_01200,-82.4174,73.1808,0.18,0.207,0.27,0.91,43,0.204,1
LROC_01201,-89.7541,-35.0905,0.2,0.187,1.15,1.49,37,0.286,1
LROC_01202,-89.7788,151.2144,0.196,0.18,0.28,1.12,17,0.102,0
LROC_01203,-86.7639,54.0918,0.206,0.179,0.57,1.34,44,0.244,1
LROC_01204,-85.1136,-147.4492,0.17,0.211,0.05,0.93,59,0.242,1
LROC_01205,-82.2959,161.2284,0.18,0.19,1.18,1.48,63,0.394,0
LROC_01206,-83.167,-86.9194,0.196,0.163,0.73,1.48,33,0.22,1
LROC_01207,-85.541,-58.6035,0.192,0.179,0.16,0.95,78,0.331,0
LROC_01208,-87.2637,-35.1863,0.208,0.176,0.18,1.01,19,0.098,1
LROC_01209,-80.0288,-161.5593,0.191,0.159,0.23,0.87,70,0.308,1
LROC_01210,-85.7382,-1.2544,0.213,0.16,0.64,1.37,48,0.269,1
LROC_01211,-85.4861,-135.6053,0.193,0.19,0.6,0.97,87,0.42,1
LROC_01212,-88.3638,-35.6507,0.201,0.142,0.24,0.65,62,0.277,1
LROC_01213,-82.0519,-53.7445,0.18,0.16,0.89,1.26,40,0.267,1
LROC_01214,-83.0632,98.2224,0.185,0.174,1.65,2.34,19,0.274,1
LROC_01215,-87.7923,109.1414,0.199,0.176,0.05,0.48,45,0.186,1
LROC_01216,-89.1762,-124.7714,0.209,0.146,0.4,0.81,38,0.2,1
LROC_01217,-83.195,-48.0416,0.196,0.17,0.68,1.48,36,0.226,1
LROC_01218,-83.4549,-45.5929,0.184,0.195,0.66,1.05,36,0.223,0
LROC_01219,-87.2674,-125.4922,0.206,0.168,0.05,0.88,71,0.29,1
LROC_01220,-80.4914,107.4433,0.152,0.206,0.18,0.96,44,0.198,0
LROC_01221,-88.4894,74.6022,0.164,0.177,0.05,0.47,61,0.25,1
LROC_01222,-85.6767,-111.4626,0.195,0.16,0.63,0.98,88,0.428,1
LROC_01223,-80.5638,-47.9801,0.185,0.189,0.78,1.37,81,0.418,1
LROC_01224,-85.8027,-141.9102,0.194,0.178,0.13,1.02,53,0.228,1
LROC_01225,-83.6147,46.1544,0.186,0.159,0.3,1.11,80,0.356,0
LROC_01226,-86.0241,-136.3061,0.194,0.161,0.3,0.83,91,0.4,1
LROC_01227,-87.2578,174.9363,0.173,0.206,1.29,1.75,43,0.327,1
LROC_01228,-80.1602,101.0455,0.194,0.159,0.16,0.74,28,0.131,1
LROC_01229,-85.9067,-39.5141,0.2,0.184,0.6,1.31,18,0.144,1
LROC_01230,-81.059,28.283,0.203,0.161,1.15,1.61,86,0.482,1
LROC_01231,-87.7005,148.0831,0.215,0.163,1.33,1.67,19,0.236,1
LROC_01232,-87.869,19.4757,0.189,0.179,0.82,1.51,58,0.33,1
LROC_01233,-89.6887,-117.1805,0.189,0.143,0.27,0.87,38,0.184,1
LROC_01234,-83.4833,-43.6668,0.162,0.165,1.3,1.61,42,0.324,1
LROC_01235,-86.3147,123.5322,0.177,0.182,1.02,1.71,38,0.274,1
LROC_01236,-81.3564,51.9167,0.182,0.167,0.91,1.51,19,0.185,1
LROC_01237,-85.2679,54.2608,0.201,0.184,0.05,0.69,27,0.114,0
LROC_01238,-80.3181,132.0557,0.176,0.157,0.05,0.78,69,0.282,1
LROC_01239,-88.1447,141.8303,0.197,0.18,0.89,1.45,44,0.283,1
LROC_01240,-81.3138,151.1253,0.185,0.156,2.17,2.68,63,0.512,1
LROC_01241,-82.234,-145.8543,0.182,0.173,1.11,1.83,29,0.249,1
LROC_01242,-82.2908,15.8854,0.189,0.159,1.34,1.91,44,0.337,1
LROC_01243,-81.5522,86.5834,0.179,0.208,0.59,1.26,42,0.239,1
LROC_01244,-82.3898,92.4937,0.179,0.159,0.27,0.95,18,0.104,1
LROC_01245,-83.7378,38.4178,0.159,0.187,0.85,1.43,82,0.43,1
LROC_01246,-88.6876,-119.9566,0.181,0.153,0.93,1.32,29,0.228,1
LROC_01247,-89.6747,107.0714,0.178,0.204,0.84,1.32,48,0.293,1
LROC_01248,-80.7915,79.2401,0.177,0.186,2.2,2.73,89,0.62,1
LROC_01249,-83.8335,-148.9911,0.191,0.176,0.34,0.92,57,0.269,1
LROC_01250,-82.0346,-13.0285,0.195,0.194,0.05,0.65,89,0.362,1
LROC_01251,-85.1848,-117.3681,0.188,0.178,1.79,2.39,75,0.515,0
LROC_01252,-88.8269,-58.5083,0.2,0.173,0.13,0.52,77,0.324,1
LROC_01253,-88.7481,-173.4908,0.194,0.175,0.9,1.55,16,0.172,0
LROC_01254,-83.1443,-35.8812,0.181,0.187,1.55,2.04,66,0.45,1
LROC_01255,-85.6969,17.9557,0.178,0.173,0.28,0.84,66,0.298,0
LROC_01256,-87.9948,43.0497,0.19,0.171,1.33,1.77,29,0.276,1
LROC_01257,-85.0841,58.8565,0.194,0.185,0.3,0.76,54,0.252,1
LROC_01258,-89.3579,121.0649,0.206,0.171,1.19,1.64,42,0.311,1
LROC_01259,-84.1803,-102.4334,0.203,0.167,0.05,0.64,69,0.282,0
